Año,Provincia,Distrito,Mes,Casos
2020,CALLAO,VENTANILLA,Abril,1.0
2020,CALLAO,VENTANILLA,Marzo,3.0
2020,LIMA,ATE,Abril,3.0
2020,LIMA,ATE,Marzo,1.0
2020,LIMA,ATE,Mayo,21.0
2020,LIMA,CARABAYLLO,Julio,1.0
2020,LIMA,CARABAYLLO,Marzo,1.0
2020,LIMA,CARABAYLLO,Setiembre,1.0
2020,LIMA,COMAS,Abril,59.0
2020,LIMA,COMAS,Agosto,1.0
2020,LIMA,COMAS,Diciembre,1.0
2020,LIMA,COMAS,Julio,1.0
2020,LIMA,COMAS,Junio,19.0
2020,LIMA,COMAS,Marzo,5.0
2020,LIMA,COMAS,Mayo,132.0
2020,LIMA,COMAS,Noviembre,1.0
2020,LIMA,INDEPENDENCIA,Abril,5.0
2020,LIMA,INDEPENDENCIA,Junio,4.0
2020,LIMA,INDEPENDENCIA,Marzo,1.0
2020,LIMA,INDEPENDENCIA,Mayo,8.0
2020,LIMA,LA MOLINA,Abril,21.0
2020,LIMA,LA MOLINA,Febrero,1.0
2020,LIMA,LA MOLINA,Junio,1.0
2020,LIMA,LA MOLINA,Marzo,5.0
2020,LIMA,LA MOLINA,Mayo,28.0
2020,LIMA,LIMA,Abril,1.0
2020,LIMA,LIMA,Agosto,1.0
2020,LIMA,LIMA,Marzo,2.0
2020,LIMA,LIMA,Mayo,1.0
2020,LIMA,LOS OLIVOS,Marzo,2.0
2020,LIMA,LOS OLIVOS,Noviembre,2.0
2020,LIMA,MAGDALENA DEL MAR,Noviembre,1.0
2020,LIMA,PUENTE PIEDRA,Abril,3.0
2020,LIMA,PUENTE PIEDRA,Febrero,3.0
2020,LIMA,PUENTE PIEDRA,Marzo,3.0
2020,LIMA,SAN JUAN DE LURIGANCHO,Noviembre,1.0
2020,LIMA,SAN LUIS,Octubre,1.0
2020,LIMA,SAN MARTIN DE PORRES,Abril,2.0
2020,LIMA,SAN MARTIN DE PORRES,Junio,1.0
2020,LIMA,SAN MARTIN DE PORRES,Noviembre,1.0
2020,LIMA,SAN MIGUEL,Abril,1.0
2020,LIMA,SANTA ANITA,Junio,1.0
2020,LIMA,VILLA EL SALVADOR,Agosto,1.0
2021,CALLAO,CALLAO,Enero,1.0
2021,CALLAO,MI PERU,Abril,5.0
2021,CALLAO,MI PERU,Marzo,3.0
2021,CAÑETE,CHILCA,Mayo,2.0
2021,CAÑETE,IMPERIAL,Junio,5.0
2021,CAÑETE,IMPERIAL,Mayo,5.0
2021,CAÑETE,NUEVO IMPERIAL,Junio,8.0
2021,CAÑETE,NUEVO IMPERIAL,Mayo,12.0
2021,CAÑETE,QUILMANA,Mayo,1.0
2021,HUARAL,HUARAL,Mayo,1.0
2021,HUAROCHIRI,HUAROCHIRI,Abril,1.0
2021,HUAROCHIRI,RICARDO PALMA,Abril,3.0
2021,HUAROCHIRI,SAN ANTONIO,Abril,4.0
2021,HUAROCHIRI,SAN ANTONIO,Mayo,3.0
2021,HUAROCHIRI,SANTA EULALIA,Abril,1.0
2021,HUAROCHIRI,SANTA EULALIA,Mayo,1.0
2021,HUAROCHIRI,SANTA EULALIA,Noviembre,1.0
2021,LIMA,ANCON,Junio,1.0
2021,LIMA,ATE,Abril,28.0
2021,LIMA,ATE,Agosto,1.0
2021,LIMA,ATE,Junio,5.0
2021,LIMA,ATE,Marzo,4.0
2021,LIMA,ATE,Mayo,36.0
2021,LIMA,CARABAYLLO,Abril,35.0
2021,LIMA,CARABAYLLO,Junio,4.0
2021,LIMA,CARABAYLLO,Marzo,22.0
2021,LIMA,CARABAYLLO,Mayo,9.0
2021,LIMA,CHACLACAYO,Abril,10.0
2021,LIMA,CHACLACAYO,Junio,1.0
2021,LIMA,CHACLACAYO,Marzo,4.0
2021,LIMA,CHACLACAYO,Mayo,29.0
2021,LIMA,CHACLACAYO,Noviembre,1.0
2021,LIMA,CHACLACAYO,Octubre,1.0
2021,LIMA,CIENEGUILLA,Abril,1.0
2021,LIMA,CIENEGUILLA,Junio,2.0
2021,LIMA,CIENEGUILLA,Mayo,12.0
2021,LIMA,COMAS,Abril,1.0
2021,LIMA,COMAS,Agosto,1.0
2021,LIMA,COMAS,Enero,1.0
2021,LIMA,COMAS,Marzo,2.0
2021,LIMA,COMAS,Mayo,2.0
2021,LIMA,INDEPENDENCIA,Abril,13.0
2021,LIMA,INDEPENDENCIA,Mayo,4.0
2021,LIMA,LA MOLINA,Abril,2.0
2021,LIMA,LA MOLINA,Marzo,1.0
2021,LIMA,LA MOLINA,Mayo,5.0
2021,LIMA,LA VICTORIA,Marzo,1.0
2021,LIMA,LA VICTORIA,Mayo,1.0
2021,LIMA,LIMA,Abril,17.0
2021,LIMA,LIMA,Agosto,1.0
2021,LIMA,LIMA,Febrero,2.0
2021,LIMA,LIMA,Marzo,104.0
2021,LIMA,LIMA,Mayo,1.0
2021,LIMA,LINCE,Abril,1.0
2021,LIMA,LINCE,Noviembre,1.0
2021,LIMA,LOS OLIVOS,Abril,1.0
2021,LIMA,LOS OLIVOS,Junio,1.0
2021,LIMA,LOS OLIVOS,Marzo,2.0
2021,LIMA,LURIGANCHO,Abril,243.0
